Organism,treatment,experiment,spider_ID_experiment_ID,experiment_ID,spider_ID,start_encapsulation,end_encapsulation,comment
spider,start,M1,,21,21,29.04.2019,30.04.2019,
spider,start,M1,,22,22,29.04.2019,30.04.2019,monofilament not found
spider,start,M1,,24,24,29.04.2019,30.04.2019,monofilament not found
spider,start,M1,,38,38,29.04.2019,30.04.2019,
spider,start,M1,,39,39,29.04.2019,30.04.2019,
spider,start,M1,,44,44,29.04.2019,30.04.2019,monofilament not found
spider,start,M1,,48,48,29.04.2019,30.04.2019,
spider,start,M1,,49,49,29.04.2019,30.04.2019,
spider,start,M1,,59,59,29.04.2019,30.04.2019,
spider,start,M1,,63,63,29.04.2019,30.04.2019,
spider,start,M1,,65,65,29.04.2019,30.04.2019,monofilament not found
spider,start,M1,,70,70,29.04.2019,30.04.2019,
spider,start,M1,,74,74,29.04.2019,30.04.2019,
spider,start,M1,,78,78,29.04.2019,30.04.2019,
spider,start,M1,,79,79,29.04.2019,30.04.2019,
spider,start,M1,,81,81,29.04.2019,30.04.2019,
spider,start,M1,,86,86,29.04.2019,30.04.2019,
spider,start,M1,,106,106,29.04.2019,30.04.2019,
spider,start,M1,,111,111,29.04.2019,30.04.2019,
spider,start,M1,,115,115,29.04.2019,30.04.2019,monofilament not found
spider,start,M2,,133,133,08.07.2019,09.07.2019,
spider,start,M2,,138,138,08.07.2019,09.07.2019,
spider,start,M2,,163,163,08.07.2019,09.07.2019,
spider,start,M2,,164,164,08.07.2019,09.07.2019,
spider,start,M2,,165,165,08.07.2019,09.07.2019,
spider,start,M2,,168,168,08.07.2019,09.07.2019,
spider,start,M2,,181,181,08.07.2019,09.07.2019,
spider,start,M2,,187,187,08.07.2019,09.07.2019,
spider,start,M2,,202,202,08.07.2019,09.07.2019,
spider,start,M2,,203,203,08.07.2019,09.07.2019,
spider,start,M2,,215,215,08.07.2019,09.07.2019,
spider,start,M2,,216,216,08.07.2019,09.07.2019,
spider,start,M2,,225,225,08.07.2019,09.07.2019,
spider,fishfood,M2,131_fishfood_14,fishfood_14,131,22.07.2019,23.07.2019,monofilament not found
spider,oatmeal,M2,132_oatmeal_8,oatmeal_8,132,29.07.2019,30.07.2019,
spider,fishfood,M2,137_fishfood_18,fishfood_18,137,22.07.2019,23.07.2019,
spider,fishfood,M2,139_fishfood_11,fishfood_11,139,29.07.2019,30.07.2019,
spider,fishfood,M2,140_fishfood_16,fishfood_16,140,22.07.2019,23.07.2019,
spider,leaves,M2,142_leaves_8,leaves_8,142,22.07.2019,23.07.2019,
spider,fishfood,M2,147_fishfood_2,fishfood_2,147,29.07.2019,30.07.2019,
spider,leaves,M2,149_leaves_7,leaves_7,149,22.07.2019,23.07.2019,
spider,leaves,M2,150_leaves_4,leaves_4,150,29.07.2019,30.07.2019,
spider,leaves,M2,152_leaves_5,leaves_5,152,22.07.2019,23.07.2019,
spider,leaves,M2,153_leaves_1,leaves_1,153,29.07.2019,30.07.2019,
spider,oatmeal,M2,154_oatmeal_12,oatmeal_12,154,22.07.2019,23.07.2019,
spider,oatmeal,M2,157_oatmeal_17,oatmeal_17,157,22.07.2019,23.07.2019,
spider,fishfood,M2,158_fishfood_9,fishfood_9,158,22.07.2019,23.07.2019,
spider,oatmeal,M2,159_oatmeal_4,oatmeal_4,159,22.07.2019,23.07.2019,
spider,oatmeal,M2,160_oatmeal_20,oatmeal_20,160,22.07.2019,23.07.2019,
spider,fishfood,M2,161_fishfood_7,fishfood_7,161,22.07.2019,23.07.2019,
spider,fishfood,M2,162_fishfood_4,fishfood_4,162,29.07.2019,30.07.2019,
spider,oatmeal,M2,167_oatmeal_6,oatmeal_6,167,29.07.2019,30.07.2019,
spider,leaves,M2,169_leaves_3,leaves_3,169,22.07.2019,23.07.2019,
spider,leaves,M2,172_leaves_19,leaves_19,172,22.07.2019,23.07.2019,
spider,leaves,M2,176_leaves_18,leaves_18,176,22.07.2019,23.07.2019,
spider,leaves,M2,178_leaves_17,leaves_17,178,29.07.2019,30.07.2019,
spider,fishfood,M2,180_fishfood_6,fishfood_6,180,29.07.2019,30.07.2019,
spider,fishfood,M2,185_fishfood_17,fishfood_17,185,22.07.2019,23.07.2019,
spider,oatmeal,M2,186_oatmeal_3,oatmeal_3,186,29.07.2019,30.07.2019,monofilament not found
spider,fishfood,M2,188_fishfood_20,fishfood_20,188,29.07.2019,30.07.2019,
spider,oatmeal,M2,189_oatmeal_13,oatmeal_13,189,22.07.2019,23.07.2019,
spider,oatmeal,M2,190_oatmeal_10,oatmeal_10,190,22.07.2019,23.07.2019,
spider,leaves,M2,191_leaves_9,leaves_9,191,22.07.2019,23.07.2019,
spider,leaves,M2,193_leaves_12,leaves_12,193,29.07.2019,30.07.2019,
spider,leaves,M2,194_leaves_16,leaves_16,194,29.07.2019,30.07.2019,
spider,oatmeal,M2,195_oatmeal_14,oatmeal_14,195,22.07.2019,23.07.2019,
spider,fishfood,M2,201_fishfood_13,fishfood_13,201,29.07.2019,30.07.2019,
spider,oatmeal,M2,204_oatmeal_5,oatmeal_5,204,29.07.2019,30.07.2019,
spider,fishfood,M2,206_fishfood_10,fishfood_10,206,22.07.2019,23.07.2019,
spider,leaves,M2,209_leaves_11,leaves_11,209,29.07.2019,30.07.2019,
spider,leaves,M2,211_leaves_15,leaves_15,211,22.07.2019,23.07.2019,
spider,fishfood,M2,212_fishfood_15,fishfood_15,212,22.07.2019,23.07.2019,
spider,fishfood,M2,213_fishfood_8,fishfood_8,213,22.07.2019,23.07.2019,
spider,oatmeal,M2,217_oatmeal_19,oatmeal_19,217,29.07.2019,30.07.2019,
spider,oatmeal,M2,218_oatmeal_2,oatmeal_2,218,29.07.2019,30.07.2019,
spider,fishfood,M2,219_fishfood_3,fishfood_3,219,22.07.2019,23.07.2019,
spider,leaves,M2,220_leaves_13,leaves_13,220,22.07.2019,23.07.2019,
spider,oatmeal,M2,221_oatmeal_1,oatmeal_1,221,22.07.2019,23.07.2019,
spider,oatmeal,M2,223_oatmeal_16,oatmeal_16,223,22.07.2019,23.07.2019,
spider,leaves,M2,227_leaves_14,leaves_14,227,22.07.2019,23.07.2019,
spider,oatmeal,M2,228_oatmeal_18,oatmeal_18,228,22.07.2019,23.07.2019,
spider,algae,M1,,algae_10,34,22.05.2019,23.05.2019,
spider,algae,M1,,algae_11,114,22.05.2019,23.05.2019,
spider,algae,M1,,algae_12,97,12.06.2019,13.06.2019,
spider,algae,M1,,algae_13,103,22.05.2019,23.05.2019,
spider,algae,M1,,algae_16,37,12.06.2019,13.06.2019,
spider,algae,M1,,algae_17,100,22.05.2019,23.05.2019,
spider,algae,M1,,algae_19,124,22.05.2019,23.05.2019,
spider,algae,M1,,algae_2,75,12.06.2019,13.06.2019,
spider,fishfood,M1,,fishfood_10,107,12.06.2019,13.06.2019,
spider,fishfood,M1,,fishfood_15,45,22.05.2019,23.05.2019,
spider,fishfood,M1,,fishfood_17,69,12.06.2019,13.06.2019,
spider,fishfood,M1,,fishfood_18,43,22.05.2019,23.05.2019,
spider,fishfood,M1,,fishfood_19,52,22.05.2019,23.05.2019,
spider,fishfood,M1,,fishfood_5,25,22.05.2019,23.05.2019,
spider,fishfood,M1,,fishfood_6,23,12.06.2019,13.06.2019,
spider,oatmeal,M1,,oatmeal_1,126,22.05.2019,23.05.2019,
spider,oatmeal,M1,,oatmeal_10,60,22.05.2019,23.05.2019,monofilament not found
spider,oatmeal,M1,,oatmeal_11,57,12.06.2019,13.06.2019,
spider,oatmeal,M1,,oatmeal_12,73,22.05.2019,23.05.2019,
spider,oatmeal,M1,,oatmeal_16,68,22.05.2019,23.05.2019,
spider,oatmeal,M1,,oatmeal_18,96,12.06.2019,13.06.2019,
spider,oatmeal,M1,,oatmeal_2,85,12.06.2019,13.06.2019,
spider,oatmeal,M1,,oatmeal_20,90,12.06.2019,13.06.2019,monofilament not found
spider,oatmeal,M1,,oatmeal_4,83,12.06.2019,13.06.2019,
spider,oatmeal,M1,,oatmeal_8,72,12.06.2019,13.06.2019,
spider,oatmeal,M1,,oatmeal_9,36,22.05.2019,23.05.2019,
