"stream","variable","difference","difference_ratio"
"Dierbach","not sensitive",18.7668384270631,-0.455007646459465
"Dierbach","sensitive",197.40063276449,0.455007646459465
"Hainbach","not sensitive",-389.385490804059,-0.125379680434639
"Hainbach","sensitive",-496.013461818255,0.125379680434639
"Isenach","not sensitive",-775.864570147059,-0.605437938790393
"Isenach","sensitive",-55.3068381372549,0.605437938790393
"Kaiserbach","not sensitive",-89.1654068504273,-0.0181979383916434
"Kaiserbach","sensitive",-383.147532059829,0.0181979383916434
"Klingbach","not sensitive",322.023007472378,0.209698134484411
"Klingbach","sensitive",256.050260068083,-0.209698134484411
"Kropsbach","not sensitive",-387.33562455267,0.000641660554178469
"Kropsbach","sensitive",-1097.00720129509,-0.00064166055417858
"Modenbach","not sensitive",-10.3251827898735,-0.0361448396261
"Modenbach","sensitive",480.984244198349,0.0361448396260998
"Otterbach","not sensitive",-71.4694263296703,-0.0363117849228354
"Otterbach","sensitive",-133.84636993895,0.0363117849228353
"Russbach","not sensitive",-154.105231134005,-0.311715264390416
"Russbach","sensitive",-26.4928258012821,0.311715264390416
"Triefenbach","not sensitive",-69.0897205396825,-0.112593830519643
"Triefenbach","sensitive",16.4452218730159,0.112593830519643
"Dierbach","large",74.9755230254974,0.101519700977513
"Dierbach","medium",74.202466478644,0.0314589483428117
"Dierbach","small",67.182399334471,-0.132978649320325
"Hainbach","large",-131.387241660998,-0.0822729732097267
"Hainbach","medium",-298.532805573812,-0.152240643684962
"Hainbach","small",-422.916316811815,0.234513616894689
"Isenach","large",-158.087247864924,-0.00541434070187716
"Isenach","medium",-258.614957792135,-0.0220717916679446
"Isenach","small",-413.382319176275,0.0274861323698217
"Kaiserbach","large",-94.5040310812916,-0.106054717704057
"Kaiserbach","medium",-258.717717708025,-0.33715244396616
"Kaiserbach","small",-116.685375826068,0.443207161670218
"Klingbach","large",138.866079906171,0.0494179040357755
"Klingbach","medium",253.369441916838,0.040264711791441
"Klingbach","small",185.883690099649,-0.0896826158272164
"Kropsbach","large",-279.673921048421,0.00744362643438065
"Kropsbach","medium",-762.139865396485,-0.091287961179185
"Kropsbach","small",-437.782170325476,0.0838443347448042
"Modenbach","large",51.202834297849,-0.0150391432620381
"Modenbach","medium",147.118504356083,-0.0546180543928198
"Modenbach","small",255.298059192452,0.0696571976548579
"Otterbach","large",-25.4876406579162,-0.0357023095815232
"Otterbach","medium",-31.5708038405698,0.00424608294416526
"Otterbach","small",-148.459746770134,0.0314562266373578
"Russbach","large",9.26592591069732,0.192173840988734
"Russbach","medium",-26.6923436046839,0.0554702555861646
"Russbach","small",-164.899872574634,-0.247644096574898
"Triefenbach","large",-0.0793964162257481,0.0171452585687707
"Triefenbach","medium",26.0472452310829,0.110547981279129
"Triefenbach","small",-81.3294338148571,-0.1276932398479
